freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.705e+02,9.840e+00,1.601e+01,2.963e+02
1.5,1.677e+02,2.253e+01,6.112e+01,2.513e+02
3.1,3.317e+01,2.249e+01,7.157e+01,1.272e+02
4.6,3.579e+02,2.367e+01,7.555e+01,4.571e+02
6.2,1.286e+03,2.728e+01,7.373e+01,1.387e+03
7.7,2.116e+03,2.784e+01,7.523e+01,2.219e+03
9.2,3.058e+03,3.065e+01,6.945e+01,3.158e+03
10.8,4.191e+03,3.218e+01,7.431e+01,4.297e+03
12.3,5.251e+03,3.652e+01,7.850e+01,5.366e+03
13.8,6.622e+03,4.285e+01,7.108e+01,6.736e+03
15.4,8.381e+03,5.126e+01,6.643e+01,8.498e+03
16.9,1.038e+04,6.682e+01,7.629e+01,1.052e+04
18.5,1.231e+04,8.012e+01,8.435e+01,1.247e+04
20.0,1.295e+04,5.768e+01,7.387e+01,1.308e+04
21.5,1.306e+04,6.853e+01,6.774e+01,1.320e+04
23.1,1.493e+04,8.224e+01,7.741e+01,1.509e+04
24.6,1.742e+04,9.808e+01,8.816e+01,1.760e+04
26.2,2.030e+04,1.200e+02,9.171e+01,2.051e+04
27.7,2.307e+04,1.430e+02,9.750e+01,2.331e+04
29.2,2.544e+04,1.754e+02,1.097e+02,2.573e+04
30.8,2.939e+04,1.958e+02,1.051e+02,2.969e+04
32.3,3.227e+04,1.543e+02,1.237e+02,3.255e+04
33.8,3.298e+04,9.341e+01,1.628e+02,3.324e+04
35.4,3.593e+04,1.012e+02,1.853e+02,3.621e+04
36.9,4.066e+04,1.458e+02,1.626e+02,4.097e+04
38.5,4.528e+04,2.159e+02,1.209e+02,4.561e+04
40.0,4.858e+04,2.365e+02,9.467e+01,4.891e+04
41.5,4.979e+04,2.714e+02,8.595e+01,5.015e+04
43.1,5.580e+04,3.090e+02,9.756e+01,5.620e+04
44.6,6.219e+04,3.401e+02,1.486e+02,6.268e+04
46.1,6.845e+04,4.499e+02,1.210e+02,6.902e+04
47.7,7.706e+04,4.430e+02,8.657e+01,7.759e+04
49.2,8.451e+04,2.063e+02,9.221e+01,8.481e+04
50.8,9.177e+04,9.194e+01,1.080e+02,9.197e+04
52.3,9.248e+04,3.200e+02,1.032e+02,9.290e+04
53.8,8.844e+04,1.046e+03,1.028e+02,8.959e+04
55.4,9.636e+04,1.671e+03,1.059e+02,9.814e+04
56.9,1.145e+05,1.848e+03,1.068e+02,1.164e+05
58.5,1.336e+05,1.717e+03,1.384e+02,1.354e+05
60.0,1.437e+05,1.524e+03,2.070e+02,1.454e+05
61.5,1.494e+05,1.605e+03,2.119e+02,1.512e+05
63.1,1.584e+05,1.703e+03,1.444e+02,1.602e+05
