freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.952e+02,6.949e+01,4.034e+01,5.050e+02
1.5,2.394e+02,5.825e+01,7.698e+01,3.746e+02
3.1,3.382e+01,2.277e+01,6.967e+01,1.263e+02
4.6,3.631e+02,2.435e+01,7.252e+01,4.599e+02
6.1,1.329e+03,2.712e+01,7.250e+01,1.428e+03
7.7,2.243e+03,3.436e+01,7.069e+01,2.348e+03
9.2,3.091e+03,4.268e+01,7.607e+01,3.209e+03
10.8,4.247e+03,4.841e+01,7.514e+01,4.371e+03
12.3,5.961e+03,7.058e+01,7.631e+01,6.107e+03
13.8,8.201e+03,1.240e+02,8.393e+01,8.409e+03
15.4,1.138e+04,2.686e+02,7.766e+01,1.173e+04
16.9,1.596e+04,7.820e+02,9.544e+01,1.684e+04
18.4,1.801e+04,1.956e+03,1.772e+02,2.014e+04
20.0,1.556e+04,1.910e+03,1.672e+02,1.764e+04
21.5,1.814e+04,7.724e+02,9.480e+01,1.900e+04
23.0,2.519e+04,1.892e+02,8.235e+01,2.547e+04
24.6,3.419e+04,2.526e+02,7.221e+01,3.451e+04
26.1,4.686e+04,6.809e+02,7.411e+01,4.762e+04
27.7,6.480e+04,9.818e+02,1.665e+02,6.595e+04
29.2,7.533e+04,2.408e+03,4.529e+02,7.819e+04
30.7,7.428e+04,6.401e+03,7.143e+02,8.139e+04
32.3,8.300e+04,1.182e+04,8.803e+02,9.570e+04
33.8,9.301e+04,1.373e+04,1.006e+03,1.077e+05
35.3,1.026e+05,1.346e+04,9.999e+02,1.170e+05
36.9,1.091e+05,1.634e+04,1.091e+03,1.266e+05
38.4,1.212e+05,1.943e+04,2.310e+03,1.429e+05
40.0,1.482e+05,2.725e+04,8.369e+03,1.838e+05
41.5,2.212e+05,9.135e+04,2.471e+04,3.373e+05
43.0,5.173e+05,1.872e+05,3.949e+04,7.440e+05
44.6,7.845e+05,1.958e+05,5.830e+04,1.039e+06
46.1,1.033e+06,1.754e+05,9.036e+04,1.298e+06
47.6,1.348e+06,1.558e+05,1.309e+05,1.635e+06
49.2,1.273e+06,1.192e+05,1.207e+05,1.513e+06
50.7,7.823e+05,8.563e+04,6.082e+04,9.287e+05
52.2,5.690e+05,7.482e+04,4.485e+04,6.887e+05
53.8,4.462e+05,6.961e+04,3.877e+04,5.545e+05
55.3,3.471e+05,5.214e+04,3.536e+04,4.346e+05
56.9,2.407e+05,4.539e+04,2.932e+04,3.154e+05
58.4,2.034e+05,9.055e+04,3.139e+04,3.254e+05
59.9,1.911e+05,8.598e+04,3.978e+04,3.168e+05
61.5,1.205e+05,4.943e+04,3.504e+04,2.049e+05
63.0,6.101e+04,3.174e+04,2.551e+04,1.183e+05
64.5,3.154e+04,2.468e+04,1.719e+04,7.341e+04
66.1,1.955e+04,2.177e+04,1.172e+04,5.304e+04
67.6,1.580e+04,1.998e+04,8.230e+03,4.401e+04
69.1,1.574e+04,1.940e+04,5.644e+03,4.078e+04
70.7,1.696e+04,1.959e+04,3.766e+03,4.032e+04
72.2,1.810e+04,2.155e+04,2.565e+03,4.221e+04
73.8,1.754e+04,2.287e+04,2.193e+03,4.260e+04
75.3,1.598e+04,2.074e+04,2.135e+03,3.885e+04
76.8,1.557e+04,1.813e+04,2.133e+03,3.583e+04
78.4,1.678e+04,1.660e+04,1.969e+03,3.535e+04
79.9,1.741e+04,1.558e+04,1.750e+03,3.474e+04
81.4,1.651e+04,1.455e+04,1.844e+03,3.291e+04
83.0,1.660e+04,1.427e+04,2.613e+03,3.348e+04
84.5,1.862e+04,1.505e+04,4.135e+03,3.781e+04
86.1,2.401e+04,1.750e+04,5.132e+03,4.664e+04
87.6,3.156e+04,2.144e+04,5.539e+03,5.855e+04
89.1,3.699e+04,2.452e+04,5.311e+03,6.682e+04
90.7,3.747e+04,2.575e+04,4.588e+03,6.781e+04
92.2,3.841e+04,2.693e+04,4.530e+03,6.988e+04
93.7,3.742e+04,2.712e+04,4.450e+03,6.899e+04
95.3,3.462e+04,2.698e+04,4.191e+03,6.579e+04
96.8,3.110e+04,2.731e+04,3.751e+03,6.217e+04
98.3,3.253e+04,2.832e+04,5.753e+03,6.660e+04
99.9,4.718e+04,4.116e+04,1.032e+04,9.866e+04
101.4,6.170e+04,6.784e+04,1.116e+04,1.407e+05
103.0,6.674e+04,7.851e+04,9.749e+03,1.550e+05
104.5,5.963e+04,6.698e+04,7.378e+03,1.340e+05
106.0,4.823e+04,5.053e+04,5.370e+03,1.041e+05
107.6,3.930e+04,4.081e+04,4.449e+03,8.456e+04
109.1,3.218e+04,3.164e+04,4.215e+03,6.803e+04
110.6,2.621e+04,2.318e+04,4.113e+03,5.350e+04
112.2,2.195e+04,2.091e+04,3.734e+03,4.659e+04
113.7,1.910e+04,1.833e+04,2.937e+03,4.036e+04
115.2,1.700e+04,1.587e+04,2.082e+03,3.495e+04
116.8,1.528e+04,1.458e+04,1.501e+03,3.136e+04
118.3,1.369e+04,1.194e+04,1.148e+03,2.678e+04
119.9,1.205e+04,9.492e+03,1.004e+03,2.255e+04
121.4,9.757e+03,6.718e+03,7.083e+02,1.718e+04
